"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","WineDataLake","public","varietal_data","varietal_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","WineDataLake","public","ava_data","ava_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","WineDataLake","public","bottle_data","bottle_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","WineDataLake","public","winery_data","winery_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","WineDataLake","public","users","user_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","WineDataLake","public","bottle_data","pct_alcohol",6,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","ava_data","topography",6,"character varying",800,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","bottle_data","year",4,"character varying",6,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","bottle_data","clusters",12,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","bottle_data","ta",7,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","bottle_data","ph",8,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","bottle_data","aging_process",13,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","ava_data","varietals",7,"character varying",800,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","winery_data","address",4,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","winery_data","phone_number",5,"character varying",30,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","bottle_data","winery_id",3,"character varying",30,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","terminology_data","term",1,"character varying",30,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","bottle_data","clones",11,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","bottle_data","wine_name",5,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","bottle_data","winery_name",2,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","bottle_data","varietals",10,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","varietal_data","varietal_name",2,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","terminology_data","description",2,"character varying",1000,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","users","fav_techsheets",3,"json",NULL,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","bottle_data","soils",9,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","winery_data","winery_url",6,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","bottle_data","source_file",15,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","winery_data","winery_name",2,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","users","user_auth",2,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","ava_data","climate",4,"character varying",800,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","bottle_data","cases_produced",14,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","users","fav_wineries",4,"json",NULL,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","ava_data","ava_name",2,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","ava_data","soils",5,"character varying",800,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","users","location",5,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","winery_data","winemaker",3,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","ava_data","location",3,"character varying",800,NULL,NULL,NULL,NULL
"postgresql","WineDataLake","public","bottle_data","run_date",16,"date",NULL,NULL,NULL,NULL,NULL
